session,package,function
1,parsnip,linear_reg()
1,parsnip,decision_tree()
1,parsnip,nearest_neighbor()
1,helper,fit_data() (reference: parsnip::fit())
1,parsnip,predict()
1,yardstick,rmse()
1,rsample,initial_split()
1,rsample,training()
1,rsample,testing()
1,helper,fit_split() (reference: tune::last_fit())
1,tune,collect_metrics()
1,yardstick,metric_set()
1,tidyr,unnest()
2,parsnip,"set_mode(""classification"")"
2,tune,collect_predictions()
2,yardstick,conf_mat()
2,yardstick,roc_auc()
2,yardstick,roc_curve()
4,parsnip,rand_forest()
4,parsnip,set_args()
4,vip,vip()
5,workflows,workflow()
5,workflows,add_formula()
5,workflows,add_model()
5,workflows,update_formula()
5,workflows,update_model()
5,workflows,pull_workflow_fit()
6,recipes,step_*()
6,recipes,*_role()
6,workflows,add_recipe()
6,recipes,all_*() (recipe selectors)
6,workflows,update_recipe()
7,rsample,vfold_cv()
7,tune,fit_resamples()
7,tune,collect_metrics(summarize = FALSE)
7,tune,control_resamples()
8,tune,tune() (for parsnip and recipe objects)
8,tune,tune_grid()
8,tidyr,expand_grid()
8,tune,control_grid()
8,tune,show_best()
8,tune,select_best()
8,tune,autoplot()
8,workflows,finalize_recipe()
8,workflows,finalize_workflow()
8,workflows,finalize_model()
8,tune,last_fit() (previously known as fit_split())